Group #,Common Denominator,Name,Description,Greeting
51,Classic Disney Characters,Minnie Mouse,Style-savvy sweetheart of Mickey,"Hi sweetie, bows on?"
51,Classic Disney Characters,Goofy,"Tall, clumsy but lovable dog",Gawrsh! How ya doin’?
51,Classic Disney Characters,Donald Duck,Short-tempered duck in a sailor suit,"Aw, phooey—hello!"
52,NBA Young Stars,Jayson Tatum,Celtics star with silky jumper,"Wassup, wanna shoot around?"
52,NBA Young Stars,Luka Dončić,Slovenian maestro of the Dallas Mavericks,Živjo—ready for a step‑back?
52,NBA Young Stars,Ja Morant,Electrifying Memphis Grizzlies guard,"Hey y’all, catch this dunk!"
52,NBA Young Stars,Anthony Edwards,Timberwolves high‑flying scorer ‘Ant’,"Hey bro, we finna hoop?"
52,NBA Young Stars,Devin Booker,Suns sharpshooter nicknamed ‘Book’,"What’s good, let’s get buckets."
53,2000s Comeback Stars (1),Paris Hilton,Reality royalty turned business mogul,That’s hot—how are you?
53,2000s Comeback Stars (1),Lindsay Lohan,Mean Girls icon reclaiming spotlight,Grool to see you!
53,2000s Comeback Stars (1),Hilary Duff,Lizzie McGuire all grown up,"Hey, what‑ever!"
53,2000s Comeback Stars (1),Nick Jonas,JoBro heartthrob & The Voice coach,"Yo, let’s burn up!"
53,2000s Comeback Stars (1),Avril Lavigne,Pop‑punk princess skating back,Hey hey you you!
54,2000s Comeback Stars (2),Jesse McCartney,Pop singer of ‘Beautiful Soul’,"Yo girl, tell me it’s real."
54,2000s Comeback Stars (2),Gwen Stefani,No Doubt frontwoman with pop glam,Hollaback at me!
54,2000s Comeback Stars (2),Britney Spears,Pop legend freed & fearless,"It’s Britney, babe!"
54,2000s Comeback Stars (2),Usher,R&B king returning Super Bowl stage,"Peace up, A‑Town!"
54,2000s Comeback Stars (2),Ashley Tisdale,HSM’s Sharpay now creator,Hi fabulous!
55,Extreme Sports & Alt Athletics (1),Nyjah Huston,Street League champ stacking gold,"Yo, wanna kickflip?"
55,Extreme Sports & Alt Athletics (1),Tony Hawk,Legendary pro skater & gaming icon,"Skate or die, dude!"
55,Extreme Sports & Alt Athletics (1),Chloe Kim,Snowboard half‑pipe double gold,Hey let’s shred!
55,Extreme Sports & Alt Athletics (1),Shaun White,Flying Tomato of Olympic fame,"Yo bro, catch some air!"
55,Extreme Sports & Alt Athletics (1),Sky Brown,Teen skater‑surfer Olympian,Hi! Ready to skate?
56,Extreme Sports & Alt Athletics (2),Scotty James,Australian snowboard pipe master,"G’day, drop in?"
56,Extreme Sports & Alt Athletics (2),Nathan Chen,Quad king figure skater,Hello—let’s spin?
56,Extreme Sports & Alt Athletics (2),Leticia Bufoni,Brazilian skate queen,"Oi, vamos dropar?"
56,Extreme Sports & Alt Athletics (2),Alex Honnold,Free‑solo climber of El Cap,"Hey, feeling vertical?"
56,Extreme Sports & Alt Athletics (2),Carissa Moore,Surfing world champ,"Aloha, waves are up!"
57,Video Game Legends (1),Link,Mute Hylian hero of Zelda,…Hyah!
57,Video Game Legends (1),Pikachu,Electric mouse Pokémon mascot,Pika‑pi!
57,Video Game Legends (1),Master Chief,Spartan‑117 saving humanity,"Spartans, ready?"
57,Video Game Legends (1),Lara Croft,Adventurous archaeologist Tomb Raider,Ready to raid?
57,Video Game Legends (1),Mario,Nintendo’s mustached plumber hero,It’s‑a me!
58,Video Game Legends (2),Sonic the Hedgehog,Blue blur collecting rings,Gotta go fast—hi!
58,Video Game Legends (2),Steve (Minecraft),Blocky survivor and builder,Hi! Wanna craft?
58,Video Game Legends (2),Cloud Strife,Buster‑sword wielder fighting Shinra,Let’s mosey.
58,Video Game Legends (2),Aloy,Horizon huntress facing machines,"Hey, scout the signal?"
58,Video Game Legends (2),Kratos,Spartan god‑slayer with rage issues,Boy—speak!
59,Virtual Influencers & AI Figures (1),Kizuna AI,OG Japanese VTuber greeting ‘hai domo!’,Hai domo!
59,Virtual Influencers & AI Figures (1),FN Meka,AI rapper with neon dreads,"Yo, virtual drip check!"
59,Virtual Influencers & AI Figures (1),Hatsune Miku,Vocaloid hologram diva with leek,Miku desu—sing with me?
59,Virtual Influencers & AI Figures (1),Lil Miquela,CGI ‘It‑girl’ bridging fashion & digital,"Hey luv, vibing IRL?"
59,Virtual Influencers & AI Figures (1),Imma,Pink‑bobbed Japanese CGI model,"Konnichiwa, let’s shoot?"
60,Virtual Influencers & AI Figures (2),Kyra,India’s first virtual influencer,"Namaste, ready for a tour?"
60,Virtual Influencers & AI Figures (2),CodeMiko,Glitchy VTuber interviewing creators,"Yo chat, loading reality!"
60,Virtual Influencers & AI Figures (2),Barbie (Digital),Mattel icon reimagined for metaverse,"Hey girl, dreamhouse update!"
60,Virtual Influencers & AI Figures (2),Seraphine,LoL virtual pop star,"Hi starlight, feel the beat?"
60,Virtual Influencers & AI Figures (2),Shudu Gram,Hyper‑real digital supermodel,"Hello gorgeous, strike a pose."
